,N/A (Born in the US),Before 1950,1950 - 1959,1960 - 1969,1970 - 1979,1980 - 1989,1990 - 1999,2000 - 2009,2010 or later
-> Suppressed for data year 2018 for select PUMAs,,,,,,,,,
us_citizen,12295,4041,6397,18791,35063,43072,38475,32420,21226
not_us_citizen,,1123,4392,14196,24435,28111,27206,25023,14002
-> Dutch West Indian,,,,,,,,,
us_citizen,19593,,0,15692,62785,32467,40254,82854,1140
not_us_citizen,,,0,,59214,99421,29032,11596,13420
-> Trinidadian Tobagonian,,,,,,,,,
us_citizen,13604,4007,5298,23582,33681,40394,41451,43140,24426
not_us_citizen,,,0,10910,26823,30459,27290,29248,19578
-> British West Indian,,,,,,,,,
us_citizen,20864,741,0,17321,28115,34756,55136,26702,22558
not_us_citizen,,,0,10272,22014,21942,36093,31539,11906
-> Antigua and Barbuda,,,,,,,,,
us_citizen,14657,,0,16845,24203,45335,45808,34123,26731
not_us_citizen,,,,4457,17900,29066,30842,32018,19983
-> Grenadian,,,,,,,,,
us_citizen,18069,0,2202,18409,34577,45323,52176,28175,48389
not_us_citizen,,,10465,0,22199,29016,22985,22925,18759
-> Vincent-Grenadine Islander,,,,,,,,,
us_citizen,10160,,31912,35856,26882,42186,41802,32232,25729
not_us_citizen,,,,,27353,12572,20842,24540,11520
-> St Lucia Islander,,,,,,,,,
us_citizen,12474,0,,13631,23880,45917,42516,34122,19908
not_us_citizen,,,,,69766,20002,30941,21342,18943
-> West Indian,,,,,,,,,
us_citizen,17826,0,9407,21579,37818,41216,40144,30416,18546
not_us_citizen,,0,39900,9397,25024,31423,27240,26835,18583
-> Haitian,,,,,,,,,
us_citizen,7315,0,4529,22213,29179,33929,33615,24034,11334
not_us_citizen,,3631,4297,6915,15611,21069,22606,17782,9450
-> Other West Indian,,,,,,,,,
us_citizen,23282,17085,898,22490,28366,43831,47145,23605,11071
not_us_citizen,,,1893,22577,27964,30081,39664,16662,13981
-> Brazilian,,,,,,,,,
us_citizen,4597,0,9557,29792,39711,39770,48535,37006,18209
not_us_citizen,,0,4602,26220,10349,31769,30804,31300,19771
-> Guyanese,,,,,,,,,
us_citizen,11777,7040,2412,16827,34190,36656,35240,31971,25012
not_us_citizen,,0,3000,15158,19680,26527,25738,22275,13392
-> Algerian,,,,,,,,,
us_citizen,2037,,0,5800,75863,89260,49702,36418,20536
not_us_citizen,,,0,0,20000,59274,43756,33781,22177
-> Egyptian,,,,,,,,,
us_citizen,15364,1860,11038,61260,51762,64479,63068,32489,13388
not_us_citizen,,,0,2697,30725,23287,26828,24258,14771
-> Libyan (2017 or later),,,,,,,,,
us_citizen,20505,,30526,,43061,38436,34536,46188,2182
